wam.txt 0 :	0 0 0 
wam.txt 1 :	0 0 1 
wam.txt 2 :	0 0 1 
wam.txt 3 :	0 1 1 
wam.txt 4 :	0 0 1 
wam.txt 5 :	0 0 0 
wam.txt 6 :	0 0 1 
wam.txt 7 :	0 0 1 
wam.txt 8 :	0 0 1 
wam.txt 9 :	0 0 1 
wam.txt 10 :	0 0 0 
wam.txt 11 :	0 0 1 
wam.txt 12 :	0 1 0 
wam.txt 13 :	0 1 1 
wam.txt 14 :	0 1 1 
wam.txt 15 :	0 1 1 
wam.txt 16 :	0 1 1 
wam.txt 17 :	0 1 1 
wam.txt 18 :	1 0 0 
wam.txt 19 :	0 0 1 
wam.txt 20 :	0 0 1 
wam.txt 21 :	1 1 0 
wam.txt 22 :	0 0 1 
wam.txt 23 :	0 0 1 
wam.txt 24 :	0 1 1 
wam.txt 25 :	0 0 1 
wam.txt 26 :	0 1 1 
wam.txt 27 :	0 0 0 
wam.txt 28 :	0 0 1 
wam.txt 29 :	0 1 1 
wam.txt 30 :	0 1 1 
wam.txt 31 :	0 0 1 
wam.txt 32 :	0 1 1 
wam.txt 33 :	0 1 1 
wam.txt 34 :	0 0 1 
wam.txt 35 :	0 0 1 
wam.txt 36 :	0 1 0 
wam.txt 37 :	0 0 1 
wam.txt 38 :	0 0 1 
wam.txt 39 :	0 1 1 
wam.txt 40 :	0 1 0 
wam.txt 41 :	0 0 1 
wam.txt 42 :	0 0 1 
wam.txt 43 :	0 0 1 
wam.txt 44 :	1 0 1 
wam.txt 45 :	0 0 1 
wam.txt 46 :	0 0 1 
wam.txt 47 :	0 1 1 
wam.txt 48 :	0 1 1 
wam.txt 49 :	0 1 1 
wam.txt 50 :	0 1 1 
wam.txt 51 :	0 0 1 
wam.txt 52 :	0 1 1 
wam.txt 53 :	0 1 1 
wam.txt 54 :	0 1 1 
wam.txt 55 :	0 0 1 
wam.txt 56 :	0 1 1 
wam.txt 57 :	0 1 1 
wam.txt 58 :	0 0 1 
wam.txt 59 :	1 1 1 
wam.txt 60 :	0 0 1 
wam.txt 61 :	0 0 1 
wam.txt 62 :	0 1 1 
wam.txt 63 :	0 1 1 
wam.txt 64 :	0 1 1 
wam.txt 65 :	0 1 1 
wam.txt 66 :	0 0 0 
wam.txt 67 :	0 0 1 
wam.txt 68 :	0 1 1 
wam.txt 69 :	0 0 1 
wam.txt 70 :	0 0 1 
wam.txt 71 :	0 1 0 
wam.txt 72 :	0 1 1 
wam.txt 73 :	0 0 0 
wam.txt 74 :	0 0 1 
wam.txt 75 :	0 1 1 
wam.txt 76 :	0 0 1 
wam.txt 77 :	0 1 1 
wam.txt 78 :	0 1 1 
wam.txt 79 :	0 1 1 
wam.txt 80 :	0 0 1 
wam.txt 81 :	0 1 1 
wam.txt 82 :	1 0 1 
wam.txt 83 :	0 1 1 
wam.txt 84 :	0 1 0 
wam.txt 85 :	0 0 1 
wam.txt 86 :	0 0 1 
wam.txt 87 :	0 0 1 
wam.txt 88 :	0 1 1 
wam.txt 89 :	0 1 1 
wam.txt 90 :	0 0 0 
wam.txt 91 :	0 0 1 
wam.txt 92 :	0 0 1 
wam.txt 93 :	0 1 1 
wam.txt 94 :	0 0 1 
wam.txt 95 :	0 0 1 
wam.txt 96 :	0 1 1 
